FoldingJib,MainJib,Outreach,Height,Condition,Environment,Cd,Load
83.27,41.14,30.57,15.44,Cdyn115,Harbour,1.15,50.38
83.27,48.0,29.08,18.86,Cdyn115,Harbour,1.15,47.54
83.27,54.86,27.19,22.07,Cdyn115,Harbour,1.15,45.73
83.27,61.71,24.94,25.04,Cdyn115,Harbour,1.15,44.81
83.27,68.57,22.34,27.71,Cdyn115,Harbour,1.15,44.7
83.27,75.43,19.44,30.06,Cdyn115,Harbour,1.15,44.66
83.27,82.29,16.29,32.05,Cdyn115,Harbour,1.15,44.89
83.27,84.0,15.46,32.48,Cdyn115,Harbour,1.15,45.08
91.59,0.0,32.01,-5.84,Cdyn115,Harbour,1.15,47.42
91.59,6.86,33.05,-2.09,Cdyn115,Harbour,1.15,44.91
91.59,13.71,33.64,1.74,Cdyn115,Harbour,1.15,43.59
91.59,20.57,33.76,5.63,Cdyn115,Harbour,1.15,43.31
91.59,27.43,33.42,9.5,Cdyn115,Harbour,1.15,44.08
91.59,34.29,32.62,13.3,Cdyn115,Harbour,1.15,45.89
91.59,41.14,31.37,16.97,Cdyn115,Harbour,1.15,47.07
91.59,48.0,29.7,20.48,Cdyn115,Harbour,1.15,45.46
91.59,54.86,27.61,23.75,Cdyn115,Harbour,1.15,44.72
91.59,61.71,25.15,26.76,Cdyn115,Harbour,1.15,44.78
91.59,68.57,22.35,29.45,Cdyn115,Harbour,1.15,44.65
91.59,75.43,19.24,31.78,Cdyn115,Harbour,1.15,45.05
91.59,82.29,15.88,33.73,Cdyn115,Harbour,1.15,46.27
91.59,84.0,15.01,34.16,Cdyn115,Harbour,1.15,46.71
99.92,0.0,33.52,-4.98,Cdyn115,Harbour,1.15,43.86
99.92,6.86,34.45,-1.07,Cdyn115,Harbour,1.15,41.76
99.92,13.71,34.9,2.93,Cdyn115,Harbour,1.15,40.74
99.92,20.57,34.88,6.96,Cdyn115,Harbour,1.15,40.8
99.92,27.43,34.37,10.95,Cdyn115,Harbour,1.15,41.94
99.92,34.29,33.39,14.85,Cdyn115,Harbour,1.15,44.16
